REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMCOQDSL,2044,99999.0
RE1,DEMCOQDSL,2045,99999.0
RE1,DEMCOQDSL,2046,99999.0
RE1,DEMCOQDSL,2047,99999.0
RE1,DEMCOQDSL,2048,99999.0
RE1,DEMCOQDSL,2049,99999.0
RE1,DEMCOQDSL,2050,99999.0
RE1,DEMCOQDSL,2051,99999.0
RE1,DEMCOQDSL,2052,99999.0
RE1,DEMCOQDSL,2053,99999.0
RE1,DEMCOQDSL,2054,99999.0
RE1,DEMCOQGSL,2022,99999.0
RE1,DEMCOQGSL,2023,99999.0
RE1,DEMCOQGSL,2024,99999.0
RE1,DEMCOQGSL,2025,99999.0
RE1,DEMCOQGSL,2026,99999.0
RE1,DEMCOQGSL,2027,99999.0
RE1,DEMCOQGSL,2028,99999.0
RE1,DEMCOQGSL,2029,99999.0
RE1,DEMCOQGSL,2030,99999.0
RE1,DEMCOQGSL,2031,99999.0
RE1,DEMCOQGSL,2032,99999.0
RE1,DEMCOQGSL,2033,99999.0
RE1,DEMCOQGSL,2034,99999.0
RE1,DEMCOQGSL,2035,99999.0
RE1,DEMCOQGSL,2036,99999.0
RE1,DEMCOQGSL,2037,99999.0
RE1,DEMCOQGSL,2038,99999.0
RE1,DEMCOQGSL,2039,99999.0
RE1,DEMCOQGSL,2040,99999.0
RE1,DEMCOQGSL,2041,99999.0
RE1,DEMCOQGSL,2042,99999.0
RE1,DEMCOQGSL,2043,99999.0
RE1,DEMCOQGSL,2044,99999.0
RE1,DEMCOQGSL,2045,99999.0
RE1,DEMCOQGSL,2046,99999.0
RE1,DEMCOQGSL,2047,99999.0
RE1,DEMCOQGSL,2048,99999.0
RE1,DEMCOQGSL,2049,99999.0
RE1,DEMCOQGSL,2050,99999.0
RE1,DEMCOQGSL,2051,99999.0
RE1,DEMCOQGSL,2052,99999.0
RE1,DEMCOQGSL,2053,99999.0
RE1,DEMCOQGSL,2054,99999.0
RE1,DEMINDAUTBOI,2022,0.0
RE1,DEMINDAUTBOI,2023,0.0
RE1,DEMINDAUTBOI,2024,0.0
RE1,DEMINDAUTBOI,2025,0.0
RE1,DEMINDAUTBOI,2026,0.0
RE1,DEMINDAUTBOI,2027,0.0
RE1,DEMINDAUTBOI,2028,0.0
RE1,DEMINDAUTBOI,2029,0.0
RE1,DEMINDAUTBOI,2030,0.0
RE1,DEMINDAUTBOI,2031,0.0
